language,segment_type,n
Abkhaz,consonant,126
Abkhaz,vowel,6
Adyghe,consonant,56
Adyghe,vowel,3
Akha,consonant,33
Akha,vowel,27
Alutor,consonant,18
Alutor,vowel,9
Amur Nivkh,consonant,28
Amur Nivkh,vowel,6
Andi,consonant,63
Andi,vowel,9
Aragonese,consonant,20
Aragonese,vowel,7
Arbëreshë Albanian,consonant,60
Arbëreshë Albanian,vowel,13
Assamese,consonant,22
Assamese,vowel,14
Assyrian Neo-Aramaic,consonant,31
Assyrian Neo-Aramaic,vowel,11
Asturian-Leonese-Cantabrian,consonant,39
Asturian-Leonese-Cantabrian,vowel,14
Atayal,consonant,18
Atayal,vowel,6
Avar,consonant,59
Avar,vowel,9
Axi Yi,consonant,36
Axi Yi,vowel,20
Baima,consonant,40
Baima,vowel,30
Bakhtiari,consonant,47
Bakhtiari,vowel,29
Balti,consonant,35
Balti,vowel,5
Bashkir,consonant,28
Bashkir,vowel,11
Basque,consonant,120
Basque,vowel,47
Bats,consonant,33
Bats,vowel,18
Bengali,consonant,58
Bengali,vowel,40
Besermyan,consonant,25
Besermyan,vowel,8
Besisi,consonant,30
Besisi,vowel,28
Betta Kurumba,consonant,22
Betta Kurumba,vowel,15
Bhojpuri,consonant,35
Bhojpuri,vowel,16
Bodo Gadaba,consonant,17
Bodo Gadaba,vowel,19
Bonan,consonant,25
Bonan,vowel,11
Bondo,consonant,21
Bondo,vowel,21
Brahui,consonant,52
Brahui,vowel,34
Breton,consonant,32
Breton,vowel,34
Bujhyal,consonant,31
Bujhyal,vowel,16
Bulgarian,consonant,37
Bulgarian,vowel,6
Burmese,consonant,33
Burmese,vowel,25
Burushaski,consonant,114
Burushaski,vowel,41
Byangsi,consonant,28
Byangsi,vowel,8
Campidanese Sardinian,consonant,44
Campidanese Sardinian,vowel,14
Catalan,consonant,75
Catalan,vowel,29
Cebuano,consonant,16
Cebuano,vowel,3
Central Alemannic,consonant,26
Central Alemannic,vowel,29
Central East Middle German,consonant,15
Central East Middle German,vowel,20
Central Khmer,consonant,17
Central Khmer,vowel,29
Central Kurdish,consonant,31
Central Kurdish,vowel,8
Central Pashto,consonant,49
Central Pashto,vowel,12
Chaldean Neo-Aramaic,consonant,34
Chaldean Neo-Aramaic,vowel,9
Chantyal,consonant,21
Chantyal,vowel,27
Chechen,consonant,156
Chechen,vowel,109
Chenchu,consonant,46
Chenchu,vowel,28
Chukchi,consonant,14
Chukchi,vowel,6
Czech,consonant,54
Czech,vowel,26
Daai Chin,consonant,24
Daai Chin,vowel,32
Dagur,consonant,45
Dagur,vowel,12
Dameli,consonant,32
Dameli,vowel,8
Danish,consonant,15
Danish,vowel,11
Dari,consonant,23
Dari,vowel,12
Darkhat,consonant,20
Darkhat,vowel,19
Darma,consonant,26
Darma,vowel,10
Dhimal,consonant,31
Dhimal,vowel,22
Dhivehi,consonant,27
Dhivehi,vowel,12
Digor Ossetian,consonant,36
Digor Ossetian,vowel,6
Dolgan,consonant,22
Dolgan,vowel,20
Domari,consonant,33
Domari,vowel,12
Dongxiang,consonant,28
Dongxiang,vowel,6
Dupaninan Agta,consonant,15
Dupaninan Agta,vowel,6
Dutch,consonant,18
Dutch,vowel,25
Dzongkha,consonant,32
Dzongkha,vowel,30
East Latvian,consonant,38
East Latvian,vowel,17
